refArea,PercentageofEducationlevelofresidents-illeterate,PercentageofSchooldropout,Observation URI,references,PercentageofEducationlevelofresidents-university,publisher,PercentageofEducationlevelofresidents-secondary,PercentageofEducationlevelofresidents-intermediate,PercentageofEducationlevelofresidents-vocational,PercentageofEducationlevelofresidents-elementary,PercentageofEducationlevelofresidents-highereducation,Town,dataset
https://dbpedia.org/page/Mount_Lebanon_Governorate,2e+00,2e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-+Bireh,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,1.5e+01,3e+01,1e+01,2.5e+01,3e+00, Bireh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/South_Governorate,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,A'ain El-Mir (El Establ),http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,1.5e+01,2e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,0e+00,Impact Open Data,0e+00,3e+01,0e+00,5e+01,5e+00,AAridet Cheikh Zennad,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/North_Governorate,5e+00,1e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaba,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,1.5e+01,2e+01,1e+01,1e+01,2e+01,Aaba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Baabda_District,3e+00,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,1.7e+01,Impact Open Data,3e+01,2e+01,3e+00,1.7e+01,1e+01,Aabadiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,2e+00,2e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,1.8e+01,Impact Open Data,5e+01,1.8e+01,2e+00,1e+01,0e+00,Aabaydat,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Nabatieh_Governorate,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabba,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aabba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Tyre_District,3e+00,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,3e+01,2e+01,5e+00,2e+00,Aabbesiyyi,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Bsharri_District,2e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabdine,https://impact.cib.gov.lb/home#open_data_section,4e+01,Impact Open Data,2e+01,1e+01,5e+00,5e+00,1.8e+01,Aabdine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Sidon_District,5e+00,5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,1e+01,2.5e+01,1e+01,1.5e+01,5e+00,Aabra Saida,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Batroun_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabrine,https://impact.cib.gov.lb/home#open_data_section,4e+01,Impact Open Data,3e+01,1e+01,1e+01,5e+00,5e+00,Aabrine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Zgharta_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aachach,https://impact.cib.gov.lb/home#open_data_section,4e+01,Impact Open Data,1e+01,0e+00,2e+01,0e+00,3e+01,Aachach,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
